Fe,C,Cr,Mo,Co,Ni,Nb,W,aus,tem,time,AF,DQ,HRc,UTS,YS,J,El
79.57,0.23,3,1.2,5,11,0,0,900,475,0,850,0,54.5,2043,1040,45.1,12.5
79.57,0.23,3,1.2,5,11,0,0,900,475,1,850,0,52.3,1795,1046,55.9,14.5
79.57,0.23,3,1.2,5,11,0,0,900,475,5,850,0,53.4,1795,1213,55.4,13.1
79.57,0.23,3,1.2,5,11,0,0,900,475,10,850,0,53.1,1815,1247,62.7,13
79.57,0.23,3,1.2,5,11,0,0,900,475,20,850,0,53,1762,1245,66.6,13.3
79.57,0.23,3,1.2,5,11,0,0,900,475,50,850,0,50.9,1572,1203,82.3,14.1
79.57,0.23,3,1.2,5,11,0,0,900,475,0,850,24,,1945,1227,,11.4
79.57,0.23,3,1.2,5,11,0,0,900,475,1,850,24,,1766,1237,,13.7
79.57,0.23,3,1.2,5,11,0,0,900,475,5,850,24,,1809,1384,,12.2
79.57,0.23,3,1.2,5,11,0,0,900,475,10,850,24,,1797,1410,,11.3
79.57,0.23,3,1.2,5,11,0,0,900,475,20,850,24,,1799,1425,,10.4
79.57,0.23,3,1.2,5,11,0,0,900,475,50,850,24,,1583,1306,,11.8
79.57,0.23,3,1.2,5,11,0,0,900,450,0,850,0,54.5,,,45.1,
79.57,0.23,3,1.2,5,11,0,0,900,450,5,850,0,53.5,,,54.9,
79.57,0.23,3,1.2,5,11,0,0,900,500,0,850,0,54.5,,,45.1,
79.57,0.23,3,1.2,5,11,0,0,900,500,5,850,0,51.7,,,69.6,
79.57,0.23,3,1.2,5,11,0,0,900,525,0,850,0,54.5,,,45.1,
79.57,0.23,3,1.2,5,11,0,0,900,475,0,700,0,55.2,2034,1103,38.7,10.1
79.57,0.23,3,1.2,5,11,0,0,900,475,1,700,0,52.2,1804,1095,56.4,14.7
79.57,0.23,3,1.2,5,11,0,0,900,475,5,700,0,53.4,1810,1234,52,14.8
79.57,0.23,3,1.2,5,11,0,0,900,475,10,700,0,52.3,1808,1272,70.6,11.2
79.57,0.23,3,1.2,5,11,0,0,900,475,20,700,0,52.4,1780,1271,76,12.5
79.57,0.23,3,1.2,5,11,0,0,900,475,50,700,0,49.3,1584,1228,78.4,12.3
79.57,0.23,3,1.2,5,11,0,0,900,475,0,700,24,,1937,1225,,
79.57,0.23,3,1.2,5,11,0,0,900,475,1,700,24,,1781,1255,,13.7
79.57,0.23,3,1.2,5,11,0,0,900,475,5,700,24,,1786,1372,,11.9
79.57,0.23,3,1.2,5,11,0,0,900,475,10,700,24,,1772,1400,,10.9
79.57,0.23,3,1.2,5,11,0,0,900,475,20,700,24,,1767,1345,,11
79.57,0.23,3,1.2,5,11,0,0,900,475,50,700,24,,1580,1292,,9.2
79.57,0.23,3,1.2,5,11,0,0,900,475,0,0,0,,1966,1163,,9.4
79.57,0.23,3,1.2,5,11,0,0,900,475,1,0,0,,1522,1072,,14.2
79.57,0.23,3,1.2,5,11,0,0,900,475,5,0,0,,1617,1165,,14.8
79.57,0.23,3,1.2,5,11,0,0,900,475,10,0,0,,1618,1211,,14.5
79.57,0.23,3,1.2,5,11,0,0,900,475,20,0,0,,1572,1217,,12.3
79.57,0.23,3,1.2,5,11,0,0,1050,475,0,700,0,53.2,2002,1045,56.8,9.3
79.57,0.23,3,1.2,5,11,0,0,1050,475,1,700,0,52.9,1833,1028,55.4,15
79.57,0.23,3,1.2,5,11,0,0,1050,475,5,700,0,54.2,1841,1250,59.3,13.8
79.57,0.23,3,1.2,5,11,0,0,1050,475,10,700,0,53.6,1832,1295,63.7,8.4
79.57,0.23,3,1.2,5,11,0,0,1050,475,20,700,0,53.7,1795,1296,78.9,10.1
79.57,0.23,3,1.2,5,11,0,0,1050,475,50,700,0,51.5,1606,1230,95.6,12.1
79.57,0.23,3,1.2,5,11,0,0,1050,475,0,700,24,,1925,1172,,12.4
79.57,0.23,3,1.2,5,11,0,0,1050,475,1,700,24,,1832,1269,,11.8
